,cntry_code,year,gbl_emsn_pct,emsn_per_capita,gdp_per_capita,population,country,emsn_transport,emsn_forestry,emsn_energy,emsn_other,emsn_land,emsn_waste,emsn_residential,emsn_industry,emsn_agriculture
0,AFG,1990,0.006999999999999999,0.213,1992.0,13032161.0,Afghanistan,607.2769999999999,0.0,277.4122,0,0.0,0.0,918.4148,118.8101,0.0
1,AFG,1991,0.006999999999999999,0.188,1761.0,14069854.0,Afghanistan,531.4588,0.0,270.1278,0,0.0,0.0,690.8751,129.7491,0.0
2,AFG,1992,0.006999999999999999,0.099,1629.0,15472076.0,Afghanistan,376.1294,0.0,154.5804,0,0.0,0.0,373.4546,141.6256,0.0
3,AFG,1993,0.006999999999999999,0.08900000000000001,1080.0,17053213.0,Afghanistan,323.7141,0.0,151.7126,0,0.0,0.0,325.8062,124.728,0.0
4,AFG,1994,0.006999999999999999,0.08,772.0,18553819.0,Afghanistan,310.3998,0.0,146.3426,0,0.0,0.0,265.0813,147.0716,0.0
5,AFG,1995,0.006999999999999999,0.073,1101.0,19789880.0,Afghanistan,310.7176,0.0,119.5816,0,0.0,0.0,275.2021,148.7317,0.0
6,AFG,1996,0.006999999999999999,0.066,1008.0,20684982.0,Afghanistan,305.0527,0.0,111.9971,0,0.0,0.0,211.7821,148.3851,0.0
7,AFG,1997,0.006999999999999999,0.06,926.0,21299350.0,Afghanistan,304.4594,0.0,95.4765,0,0.0,0.0,235.9465,147.5178,0.0
8,AFG,1998,0.006999999999999999,0.055,856.0,21752257.0,Afghanistan,291.3629,0.0,91.6882,0,0.0,0.0,217.0613,145.0774,0.0
9,AFG,1999,0.006999999999999999,0.042,787.0,22227543.0,Afghanistan,280.7938,0.0,101.8636,0,0.0,0.0,245.8465,144.2724,0.0
10,AFG,2000,0.006999999999999999,0.038,735.0,22856302.0,Afghanistan,269.17,0.0,96.7,0,0.0,0.0,182.0,147.59,0.0
11,AFG,2001,0.006999999999999999,0.039,692.0,23677385.0,Afghanistan,260.88,0.0,101.1,0,0.0,0.0,93.2,128.38,0.0
12,AFG,2002,0.006999999999999999,0.049,1088.0,24639841.0,Afghanistan,250.0,0.0,87.6,0,0.0,0.0,30.1,134.49,0.0
13,AFG,2003,0.006999999999999999,0.052000000000000005,1112.0,25678639.0,Afghanistan,199.59,0.0,74.2,0,0.0,0.0,22.5,140.31,0.0
14,AFG,2004,0.006999999999999999,0.039,1107.0,26693486.0,Afghanistan,229.59,0.0,82.0,0,0.0,0.0,17.0,144.24,0.0
15,AFG,2005,0.006999999999999999,0.053,1187.0,27614718.0,Afghanistan,234.96,0.0,84.0,0,0.0,0.0,54.2,146.96,0.0
16,AFG,2006,0.006999999999999999,0.064,1257.0,28420974.0,Afghanistan,204.15,0.0,74.2,0,0.0,0.0,51.2,142.28,0.0
17,AFG,2007,0.006999999999999999,0.085,1447.0,29145841.0,Afghanistan,196.53,0.0,70.2,0,0.0,0.0,94.3,146.1,0.0
18,AFG,2008,0.006999999999999999,0.154,1464.0,29839994.0,Afghanistan,195.14,0.0,70.3,0,0.0,0.0,103.0,148.22,0.0
19,AFG,2009,0.006999999999999999,0.24100000000000002,1669.0,30577756.0,Afghanistan,182.08,0.0,65.7,0,0.0,0.0,120.0,150.84,0.0
20,AFG,2010,0.008,0.294,1685.0,31411743.0,Afghanistan,169.14,0.0,61.0,0,0.0,0.0,136.0,157.76,0.0
21,ALB,1990,0.021,1.679,4454.0,3289483.0,Albania,718.5684,-481.445,2924.7909,0,121.0,1.2441,2102.8101,531.5534,0.0
22,ALB,1991,0.021,1.307,3271.0,3291695.0,Albania,541.8246,-482.6352,2008.9023,0,121.0,1.1361,1330.2999,343.6323,0.0
23,ALB,1992,0.021,0.775,3143.0,3266983.0,Albania,416.8524,-483.8313,1156.0769,0,121.0,1.1324,579.6248,162.28,0.0
24,ALB,1993,0.021,0.731,3451.0,3224901.0,Albania,516.0022,-485.0333,1072.3194,0,121.0,1.1972,394.6873,177.3608,0.0
25,ALB,1994,0.021,0.611,3721.0,3179442.0,Albania,643.7355,-486.2414,1138.9575,0,121.0,1.2639,335.42199999999997,199.2575,0.0
26,ALB,1995,0.02,0.67,3992.0,3141102.0,Albania,634.7268,-487.4554,891.3623,0,121.0,1.3331,330.2491,196.1642,0.0
27,ALB,1996,0.02,0.653,4294.0,3112597.0,Albania,630.8238,-488.6755,783.0010000000001,0,121.0,1.4086,463.9083,180.4109,0.0
28,ALB,1997,0.02,0.498,3799.0,3091902.0,Albania,498.0707,-489.9018,561.3776,0,121.0,1.3866,380.7151,148.4642,0.0
29,ALB,1998,0.019,0.564,4150.0,3079037.0,Albania,750.8032,-491.1342,637.974,0,121.0,1.4859,300.0517,120.8963,0.0
