Code,Year,Transport,Forestry,Energy,Other sources,"Agriculture, Land Use & Forestry",Waste,Residential & commercial,Industry,Agriculture,Share of global cumulative CO₂ emissions (%),Entity,Per capita CO₂ emissions (tonnes per capita),GDP per capita (2011 int-$) ($),Total population (Gapminder),Country Size Category,countryname,system,System Category
AFG,1990,607.277,0,277.4122,0,0,0,918.4148,118.8101,0,0.007,Afghanistan,0.213,1992,13032161,1,Afghanistan,Presidential,0
AFG,1991,531.4588,0,270.1278,0,0,0,690.8751,129.7491,0,0.007,Afghanistan,0.188,1761,14069854,1,Afghanistan,Presidential,0
AFG,1992,376.1294,0,154.5804,0,0,0,373.4546,141.6256,0,0.007,Afghanistan,0.099,1629,15472076,1,Afghanistan,Presidential,0
AFG,1993,323.7141,0,151.7126,0,0,0,325.8062,124.728,0,0.007,Afghanistan,0.089,1080,17053213,1,Afghanistan,Presidential,0
AFG,1994,310.3998,0,146.3426,0,0,0,265.0813,147.0716,0,0.007,Afghanistan,0.08,772,18553819,1,Afghanistan,Presidential,0
AFG,1995,310.7176,0,119.5816,0,0,0,275.2021,148.7317,0,0.007,Afghanistan,0.073,1101,19789880,1,Afghanistan,Presidential,0
AFG,1996,305.0527,0,111.9971,0,0,0,211.7821,148.3851,0,0.007,Afghanistan,0.066,1008,20684982,1,Afghanistan,Presidential,0
AFG,1997,304.4594,0,95.4765,0,0,0,235.9465,147.5178,0,0.007,Afghanistan,0.06,926,21299350,1,Afghanistan,Presidential,0
AFG,1998,291.3629,0,91.6882,0,0,0,217.0613,145.0774,0,0.007,Afghanistan,0.055,856,21752257,1,Afghanistan,Presidential,0
AFG,1999,280.7938,0,101.8636,0,0,0,245.8465,144.2724,0,0.007,Afghanistan,0.042,787,22227543,1,Afghanistan,Presidential,0
AFG,2000,269.17,0,96.7,0,0,0,182,147.59,0,0.007,Afghanistan,0.038,735,22856302,1,Afghanistan,Presidential,0
AFG,2001,260.88,0,101.1,0,0,0,93.2,128.38,0,0.007,Afghanistan,0.039,692,23677385,1,Afghanistan,Presidential,0
AFG,2004,229.59,0,82,0,0,0,17,144.24,0,0.007,Afghanistan,0.039,1107,26693486,1,Afghanistan,Presidential,0
AFG,2005,234.96,0,84,0,0,0,54.2,146.96,0,0.007,Afghanistan,0.053,1187,27614718,1,Afghanistan,Presidential,0
AFG,2006,204.15,0,74.2,0,0,0,51.2,142.28,0,0.007,Afghanistan,0.064,1257,28420974,1,Afghanistan,Presidential,0
AFG,2007,196.53,0,70.2,0,0,0,94.3,146.1,0,0.007,Afghanistan,0.085,1447,29145841,1,Afghanistan,Presidential,0
AFG,2008,195.14,0,70.3,0,0,0,103,148.22,0,0.007,Afghanistan,0.154,1464,29839994,1,Afghanistan,Presidential,0
AFG,2009,182.08,0,65.7,0,0,0,120,150.84,0,0.007,Afghanistan,0.241,1669,30577756,1,Afghanistan,Presidential,0
AFG,2010,169.14,0,61,0,0,0,136,157.76,0,0.008,Afghanistan,0.294,1685,31411743,1,Afghanistan,Presidential,0
ALB,1990,718.5684,-481.445,2924.7909,0,121,1.2441,2102.8101,531.5534,0,0.021,Albania,1.679,4454,3289483,1,Albania,Assembly-Elected President,1
ALB,1991,541.8246,-482.6352,2008.9023,0,121,1.1361,1330.2999,343.6323,0,0.021,Albania,1.307,3271,3291695,1,Albania,Assembly-Elected President,1
ALB,1992,416.8524,-483.8313,1156.0769,0,121,1.1324,579.6248,162.28,0,0.021,Albania,0.775,3143,3266983,1,Albania,Parliamentary,2
ALB,1993,516.0022,-485.0333,1072.3194,0,121,1.1972,394.6873,177.3608,0,0.021,Albania,0.731,3451,3224901,1,Albania,Parliamentary,2
ALB,1994,643.7355,-486.2414,1138.9575,0,121,1.2639,335.422,199.2575,0,0.021,Albania,0.611,3721,3179442,1,Albania,Parliamentary,2
ALB,1995,634.7268,-487.4554,891.3623,0,121,1.3331,330.2491,196.1642,0,0.02,Albania,0.67,3992,3141102,1,Albania,Parliamentary,2
ALB,1996,630.8238,-488.6755,783.001,0,121,1.4086,463.9083,180.4109,0,0.02,Albania,0.653,4294,3112597,1,Albania,Parliamentary,2
ALB,1997,498.0707,-489.9018,561.3776,0,121,1.3866,380.7151,148.4642,0,0.02,Albania,0.498,3799,3091902,1,Albania,Parliamentary,2
ALB,1998,750.8032,-491.1342,637.974,0,121,1.4859,300.0517,120.8963,0,0.019,Albania,0.564,4150,3079037,1,Albania,Parliamentary,2
