Entity,Code,Year,Transport,Forestry,Energy,Other sources,"Agriculture, Land Use & Forestry",Waste,Residential & commercial,Industry,Agriculture
Afghanistan,AFG,1990,607.277,0,277.4122,0,0,0,918.4148,118.8101,0
Afghanistan,AFG,1991,531.4588,0,270.1278,0,0,0,690.8751,129.7491,0
Afghanistan,AFG,1992,376.1294,0,154.5804,0,0,0,373.4546,141.6256,0
Afghanistan,AFG,1993,323.7141,0,151.7126,0,0,0,325.8062,124.728,0
Afghanistan,AFG,1994,310.3998,0,146.3426,0,0,0,265.0813,147.0716,0
Afghanistan,AFG,1995,310.7176,0,119.5816,0,0,0,275.2021,148.7317,0
Afghanistan,AFG,1996,305.0527,0,111.9971,0,0,0,211.7821,148.3851,0
Afghanistan,AFG,1997,304.4594,0,95.4765,0,0,0,235.9465,147.5178,0
Afghanistan,AFG,1998,291.3629,0,91.6882,0,0,0,217.0613,145.0774,0
Afghanistan,AFG,1999,280.7938,0,101.8636,0,0,0,245.8465,144.2724,0
Afghanistan,AFG,2000,269.17,0,96.7,0,0,0,182,147.59,0
Afghanistan,AFG,2001,260.88,0,101.1,0,0,0,93.2,128.38,0
Afghanistan,AFG,2002,250,0,87.6,0,0,0,30.1,134.49,0
Afghanistan,AFG,2003,199.59,0,74.2,0,0,0,22.5,140.31,0
Afghanistan,AFG,2004,229.59,0,82,0,0,0,17,144.24,0
Afghanistan,AFG,2005,234.96,0,84,0,0,0,54.2,146.96,0
Afghanistan,AFG,2006,204.15,0,74.2,0,0,0,51.2,142.28,0
Afghanistan,AFG,2007,196.53,0,70.2,0,0,0,94.3,146.1,0
Afghanistan,AFG,2008,195.14,0,70.3,0,0,0,103,148.22,0
Afghanistan,AFG,2009,182.08,0,65.7,0,0,0,120,150.84,0
Afghanistan,AFG,2010,169.14,0,61,0,0,0,136,157.76,0
Africa,,1990,107023.9369,-33893.0271,460225.5373,0,1628185,0,62695.3668,39595.4229,0
Africa,,1991,110310.1595,-33905.4204,462863.3817,0,1628185,0,65215.1945,41314.1883,0
Africa,,1992,116504.6535,-33911.1918,481372.0038,0,1628185,0,66965.4996,41246.4075,0
Africa,,1993,116157.7762,-32333.8082,473999.2566,0,1628185,0,72012.8276,40958.5244,0
Africa,,1994,118042.609,-32306.9206,465786.6209,0,1628185,0,72998.8213,41082.95,0
Africa,,1995,123798.8598,-32270.5411,492819.9597,0,1628185,0,74558.0603,42480.9793,0
Africa,,1996,127815.6367,-32223.6068,520751.9066,0,1665852,0,73908.4448,47817.7447,0
Africa,,1997,131117.3778,-32164.9216,533421.9415,0,1633176,0,74883.0442,50610.7256,0
Africa,,1998,138694.3697,-32093.1353,545006.5353,0,1673905,0,74216.6961,50168.3669,0
Africa,,1999,145422.3309,-32006.7179,530513.2003,0,1618501,0,76419.4219,52022.7758,0
Africa,,2000,149613.0213,-31903.9283,549756.2228,0,1630286,0,76431.5,53462.7933,0
Africa,,2001,153864.2547,-27395.3111,532609.6223,0,1508925,0,85210.2,56464.2918,0
Africa,,2002,159524.2265,-27767.6676,543979.4999,0,1607162,0,89303,59262.8359,0
Africa,,2003,167388.7107,-28195.3391,583278.4818,0,1531154,0,92709.3,60047.9821,0
Africa,,2004,178047.2147,-28684.5256,606566.1362,0,1577914,0,98738.97,64124.2387,0
Africa,,2005,185352.0125,-29242.3183,620243.7786,0,1626267,0,107128.3,66612.3929,0
Africa,,2006,189331.4162,-146442.4418,622925.9732,0,1468285,0,111235.94,71628.1998,0
Africa,,2007,200003.375,-147126.0355,631022.6814,0,1470595,0,113118.7,73387.566,0
Africa,,2008,212311.4783,-147842.7443,623545.5817,0,1485220,0,120535.6,74798.2584,0
Africa,,2009,232125.5356,-148596.1739,594970.5728,0,1498577,0,113433.6,75303.9314,0
Africa,,2010,213526.42,-149390.541,614781.9539,0,1456496,0,104107.9,82162.3533,0
Albania,ALB,1990,718.5684,-481.445,2924.7909,0,121,1.2441,2102.8101,531.5534,0
Albania,ALB,1991,541.8246,-482.6352,2008.9023,0,121,1.1361,1330.2999,343.6323,0
Albania,ALB,1992,416.8524,-483.8313,1156.0769,0,121,1.1324,579.6248,162.28,0
Albania,ALB,1993,516.0022,-485.0333,1072.3194,0,121,1.1972,394.6873,177.3608,0
Albania,ALB,1994,643.7355,-486.2414,1138.9575,0,121,1.2639,335.422,199.2575,0
Albania,ALB,1995,634.7268,-487.4554,891.3623,0,121,1.3331,330.2491,196.1642,0
Albania,ALB,1996,630.8238,-488.6755,783.001,0,121,1.4086,463.9083,180.4109,0
Albania,ALB,1997,498.0707,-489.9018,561.3776,0,121,1.3866,380.7151,148.4642,0
Albania,ALB,1998,750.8032,-491.1342,637.974,0,121,1.4859,300.0517,120.8963,0
Albania,ALB,1999,1422.6851,-492.3728,768.9531,0,121,1.5802,810.8697,144.9111,0
Albania,ALB,2000,1487,-493.6177,812.088,0,121,1.67,835,125.58,0
Albania,ALB,2001,1567,733.3333,853.173,0,890,1.76,881,189.92,0
Albania,ALB,2002,1788.1,733.3333,792.276,0,889,1.83,1270,260.51,0
Albania,ALB,2003,1949.3,733.3333,776.331,0,891,1.92,1210,344.14,0
Albania,ALB,2004,1820,733.3333,739.84,0,889,2.02,881,358.29,0
Albania,ALB,2005,2384,733.3333,824.11,0,889,2.12,1170,308.64,0
Albania,ALB,2006,1930,-642.8195,1027.25,0,-210,2.18,1040,344.79,0
Albania,ALB,2007,2124.8,-643.8234,888.41,0,-198,2.25,879,499.35,0
Albania,ALB,2008,2344,-644.8305,820.45,0,-209,2.32,649,509.91,0
Albania,ALB,2009,2376.5,-645.8407,717.06,0,-211,2.39,597,488.86,0
Albania,ALB,2010,2393.2,-646.8541,865.98,0,-211,2.46,668,534.51,0
Algeria,DZA,1990,11901.6586,-37.6513,42686.7094,0,880,0,10880.9283,4024.615,0
Algeria,DZA,1991,12654.6256,-37.2166,44890.5192,0,880,0,12234.3578,4038.2597,0
Algeria,DZA,1992,12758.6925,-36.7772,49831.8376,0,880,0,12327.0173,4687.6502,0
Algeria,DZA,1993,13166.0056,-36.3332,50213.7512,0,880,0,12580.5537,4473.4203,0
Algeria,DZA,1994,12140.6109,-35.8844,49839.4227,0,880,0,12125.9712,3819.8671,0
Algeria,DZA,1995,11918.5893,-35.4308,53013.3761,0,880,0,11739.7064,3764.5454,0
Algeria,DZA,1996,12201.1577,-34.9723,51762.7813,0,880,0,11520.1284,3938.5306,0
Algeria,DZA,1997,12562.078,-34.5087,50278.7164,0,880,0,10840.7591,4522.3995,0
Algeria,DZA,1998,12385.5089,-34.0401,49427.4876,0,880,0,12371.9947,4557.9254,0
Algeria,DZA,1999,12863.1716,-33.5663,50805.2541,0,880,0,13101.9511,4852.5177,0
Algeria,DZA,2000,13530,-33.0873,51083,0,880,0,12800,5187.51,0
Algeria,DZA,2001,13380,-727.8066,49595,0,513,0,13300,5143.92,0
Algeria,DZA,2002,13400,-730.1579,50401,0,513,0,14200,5606.44,0
Algeria,DZA,2003,14868,-732.5351,53213,0,513,0,15200,5554.96,0
Algeria,DZA,2004,15448,-734.9386,50252,0,513,0,17200,6318.28,0
Algeria,DZA,2005,15980,-737.3689,51467,0,513,0,19000,7050.91,0
Algeria,DZA,2006,16440,-6746.6667,54970,0,-6747,0,19400,7610.43,0
Algeria,DZA,2007,18730,-6746.6667,53999,0,-6747,0,21200,8159.25,0
Algeria,DZA,2008,20010,-6746.6667,55679,0,-6747,0,22100,8589.48,0
Algeria,DZA,2009,33260,-6746.6667,56987,0,-6747,0,13500,8818.3,0
Algeria,DZA,2010,33530,-6746.6667,57519,0,-6747,0,13200,10070.82,0
American Samoa,ASM,1990,,-0.0058,0,0,14,0,0,10.6314,0
American Samoa,ASM,1991,,-0.0058,0,0,14,0,0,10.9352,0
American Samoa,ASM,1992,,-0.0058,0,0,14,0,0,11.2195,0
American Samoa,ASM,1993,,-0.0059,0,0,14,0,0,11.4852,0
American Samoa,ASM,1994,,-0.0059,0,0,14,0,0,11.7324,0
American Samoa,ASM,1995,,-0.0059,0,0,14,0,0,11.9649,0
American Samoa,ASM,1996,,-0.0059,0,0,14,0,0,12.1796,0
American Samoa,ASM,1997,,-0.0059,0,0,14,0,0,12.379,0
American Samoa,ASM,1998,,-0.0059,0,0,14,0,0,12.5776,0
American Samoa,ASM,1999,,-0.0059,0,0,14,0,0,12.7938,0
American Samoa,ASM,2000,0,-0.0059,0,0,14,0,0,13.0759,0
American Samoa,ASM,2001,0,-0.0059,0,0,14,0,0,13.2795,0
American Samoa,ASM,2002,0,-0.006,0,0,14,0,0,13.6832,0
American Samoa,ASM,2003,0,-0.006,0,0,14,0,0,13.9881,0
American Samoa,ASM,2004,0,-0.006,0,0,14,0,0,14.293,0
American Samoa,ASM,2005,0,-0.006,0,0,14,0,0,14.5968,0
American Samoa,ASM,2006,0,-0.006,0,0,14,0,0,15.0017,0
American Samoa,ASM,2007,0,-0.006,0,0,14,0,0,15.3055,0
American Samoa,ASM,2008,0,-0.006,0,0,14,0,0,15.6103,0
American Samoa,ASM,2009,0,-0.006,0,0,14,0,0,16.0152,0
American Samoa,ASM,2010,0,-0.0061,0,0,14,0,0,16.3191,0
Americas,,1990,1846284.0885,-1055502.9013,3498697.8829,4730,1221013,394.7781,811687.2307,261732.5561,0
Americas,,1991,1828784.5811,-1057795.5685,3490733.5512,4730,1221013,396.8646,817052.4442,260491.6181,0
Americas,,1992,1871173.225,-1060108.4688,3561278.0479,4730,1221013,397.8674,816585.546,265954.2474,0
Americas,,1993,1912170.3303,-1062442.0335,3649742.2856,4730,1221013,401.5285,842341.4249,269305.0335,0
Americas,,1994,1983212.084,-1064796.7069,3710108.6479,4730,1221013,405.8093,841079.5305,280527.2084,0
Americas,,1995,2035463.6682,-1067172.9464,3693452.8077,4730,1221013,409.2364,847160.1291,285519.1084,0
Americas,,1996,2093700.8991,-1069571.224,3840862.1124,4730,1198622,411.903,895251.9107,292741.5668,0
Americas,,1997,2136366.3939,-1071992.0265,4022934.0843,4730,1175410,415.0025,876450.9871,300322.6143,0
Americas,,1998,2195469.6774,-1074435.8568,4171792.1925,4730,1256335,416.0284,811363.372,305132.5811,0
Americas,,1999,2240890.2733,-1076903.2347,4142397.8512,4730,1219667,417.4426,833914.0892,309758.177,0
Americas,,2000,2284731.7083,-1079394.6982,4259919.0777,4730,1177125,420.7417,874827.837,309060.0304,0
Americas,,2001,2285098.1247,-798968.1245,4173957.3128,4730,1575299,422.0239,856472.002,288121.8388,0
Americas,,2002,2340151.6272,-800661.5889,4189630.9465,4730,1625891,424.3354,858478.547,295225.8058,0
Americas,,2003,2365688.7248,-802380.6886,4218004.4791,4730,1649636,425.4482,880116.485,291376.077,0
Americas,,2004,2411595.4515,-804126.0518,4286001.3275,4730,1654563,428.7077,879774.059,308238.8669,0
Americas,,2005,2442954.0014,-805898.3285,4321943.2578,4730,1640413,431.2131,859134.602,310276.424,0
Americas,,2006,2458339.2367,-953571.0991,4292742.1386,4730,1017186,428.3245,806189.199,319768.2729,0
Americas,,2007,2480715.1575,-955207.9374,4401325.5692,4730,1074927,427.6488,840229.53,328227.1698,0
Americas,,2008,2383300.2909,-956870.4901,4341108.0301,4730,999826,426.873,848014.81,319549.4868,0
Americas,,2009,2307682.5105,-958559.5069,4008388.5409,4730,998244,425.0951,824489.04,285569.7459,0
Americas,,2010,2354170.0335,-960275.7732,4246217.4018,4730,1020875,424.319,820724.76,304702.5958,0
Angola,AGO,1990,1016.8105,147.8649,9173.5207,0,83384,0,661.6754,165.8788,0
Angola,AGO,1991,1255.8726,148.1676,9101.8257,0,83384,0,687.4952,169.839,0
Angola,AGO,1992,1188.0872,148.4715,9216.3319,0,83384,0,617.4753,195.1636,0
Angola,AGO,1993,1211.4749,148.7766,9564.5344,0,83384,0,515.5114,139.8344,0
Angola,AGO,1994,1540.1015,149.083,8449.6311,0,83384,0,633.5407,162.3237,0
Angola,AGO,1995,1069.1006,149.3906,10250.8646,0,83384,0,667.1658,161.8039,0
Angola,AGO,1996,989.5195,149.6995,12573.1393,0,81980,0,911.7992,148.2351,0
Angola,AGO,1997,1051.5074,150.0097,13155.7839,0,79158,0,910.3039,161.8371,0
Angola,AGO,1998,835.3745,150.3212,13752.2009,0,83774,0,1011.832,182.833,0
Angola,AGO,1999,1156.9768,150.634,14073.4055,0,79218,0,1255.7767,182.4507,0
Angola,AGO,2000,1070,150.9481,13210,0,82397,0,1050,182.18,0
Angola,AGO,2001,1200,151.2635,12695,0,71491,0,1170,267.67,0
Angola,AGO,2002,1480,151.5802,12171,0,84023,0,1200,285.53,0
Angola,AGO,2003,3178,151.8983,11790,0,86993,0,1180,328.44,0
Angola,AGO,2004,2970,152.2177,12879,0,93722,0,1230,349.36,0
Angola,AGO,2005,2328,152.5384,12038,0,94768,0,936,581.39,0
Angola,AGO,2006,3028,152.8605,10377,0,75215,0,1830,599.32,0
Angola,AGO,2007,3982,153.1839,9955,0,91412,0,1940,604.26,0
Angola,AGO,2008,3634,153.5088,9731,0,77597,0,2340,598.29,0
Angola,AGO,2009,4264,153.835,9661,0,77734,0,2760,599.21,0
Angola,AGO,2010,5787,154.1626,9181,0,81041,0,3000,655.18,0
Anguilla,AIA,1990,,-15.5042,0,0,-16,0,0,0,0
Anguilla,AIA,1991,,-15.5042,0,0,-16,0,0,0,0
Anguilla,AIA,1992,,-15.5042,0,0,-16,0,0,0,0
Anguilla,AIA,1993,,-15.5042,0,0,-16,0,0,0,0
Anguilla,AIA,1994,,-15.5042,0,0,-16,0,0,0,0
Anguilla,AIA,1995,,-15.5042,0,0,-16,0,0,0,0
Anguilla,AIA,1996,,-15.5042,0,0,-16,0,0,0,0
Anguilla,AIA,1997,,-15.5042,0,0,-16,0,0,0,0
Anguilla,AIA,1998,,-15.5042,0,0,-16,0,0,0,0
Anguilla,AIA,1999,,-15.5042,0,0,-16,0,0,0,0
Anguilla,AIA,2000,0,-15.5042,0,0,-16,0,0,0,0
Anguilla,AIA,2001,0,-10.3261,0,0,-10,0,0,0,0
Anguilla,AIA,2002,0,-10.3261,0,0,-10,0,0,0,0
Anguilla,AIA,2003,0,-10.3261,0,0,-10,0,0,0,0
Anguilla,AIA,2004,0,-10.3261,0,0,-10,0,0,0,0
Anguilla,AIA,2005,0,-10.3261,0,0,-10,0,0,0,0
Anguilla,AIA,2006,0,52.4397,0,0,52,0,0,0,0
Anguilla,AIA,2007,0,52.4397,0,0,52,0,0,0,0
Anguilla,AIA,2008,0,52.4397,0,0,52,0,0,0,0
Anguilla,AIA,2009,0,52.4397,0,0,52,0,0,0,0
Anguilla,AIA,2010,0,52.4397,0,0,52,0,0,0,0
Annex I countries,,1990,3070868.3054,-1164236.2495,9038805.2592,4919,-540494,20639.797,2423872.5357,792580.3648,0
Annex I countries,,1991,3065525.0676,-1165086.796,8812773.626,4919,-540428,21146.1069,2405540.5737,756221.9161,0
Annex I countries,,1992,3070030.6543,-1181680.8425,8483436.8677,4919,-548002,21652.497,2108007.5044,731260.7536,0
Annex I countries,,1993,3056495.6711,-1182477.3776,8337021.9788,4919,-547975,22163.3219,2160273.1912,683975.8492,0
Annex I countries,,1994,3096487.0638,-1183304.9031,8196117.5786,4919,-547970,22676.5465,2039312.1968,676622.3786,0
Annex I countries,,1995,3137113.6609,-1184131.8314,8194066.04,4919,-547965,23192.1372,2064011.8495,685959.2125,0
Annex I countries,,1996,3202729.7956,-1184958.1658,8250783.6158,4919,-558999,23710.0191,2150516.2008,671932.7949,0
